iter	PrecisionAt:top=5
173	0.7096774194
174	0.7096774194
175	0.7096774194
176	0.7096774194
177	0.7096774194
178	0.7096774194
179	0.7096774194
180	0.7096774194
181	0.7096774194
182	0.7096774194
183	0.7096774194
184	0.7096774194
185	0.7096774194
186	0.7096774194
187	0.7096774194
188	0.7096774194
189	0.7096774194
190	0.7096774194
191	0.7096774194
192	0.7096774194
193	0.7096774194
194	0.7096774194
195	0.7096774194
196	0.7096774194
197	0.7096774194
198	0.7096774194
199	0.7096774194
200	0.7096774194
201	0.7096774194
202	0.7096774194
203	0.7096774194
204	0.7096774194
205	0.7096774194
206	0.7096774194
207	0.7096774194
208	0.7096774194
209	0.7096774194
210	0.7096774194
211	0.7096774194
212	0.7096774194
213	0.7096774194
214	0.7096774194
215	0.7096774194
216	0.7096774194
217	0.7096774194
218	0.7096774194
219	0.7096774194
220	0.7096774194
221	0.7096774194
222	0.7096774194
223	0.7096774194
224	0.7096774194
225	0.7096774194
226	0.7096774194
227	0.7096774194
228	0.7096774194
229	0.7096774194
230	0.7096774194
231	0.7096774194
232	0.7096774194
233	0.7096774194
234	0.7096774194
235	0.7096774194
236	0.7096774194
237	0.7096774194
238	0.7096774194
239	0.7096774194
240	0.7096774194
241	0.7096774194
242	0.7096774194
243	0.7096774194
244	0.7096774194
245	0.7096774194
246	0.7096774194
247	0.7096774194
248	0.7096774194
249	0.7096774194
250	0.7096774194
251	0.7096774194
252	0.7096774194
253	0.7096774194
254	0.7096774194
255	0.7096774194
256	0.7096774194
257	0.7096774194
258	0.7096774194
259	0.7096774194
260	0.7096774194
261	0.7096774194
262	0.7096774194
263	0.7096774194
264	0.7096774194
265	0.7096774194
266	0.7096774194
267	0.7096774194
268	0.7096774194
269	0.7096774194
270	0.7096774194
271	0.7096774194
272	0.7096774194
273	0.7096774194
274	0.7096774194
275	0.7096774194
276	0.7096774194
277	0.7096774194
278	0.7096774194
279	0.7096774194
280	0.7096774194
281	0.7096774194
282	0.7096774194
283	0.7096774194
284	0.7096774194
285	0.7096774194
286	0.7096774194
287	0.7096774194
288	0.7096774194
289	0.7096774194
290	0.7096774194
291	0.7096774194
292	0.7096774194
293	0.7096774194
294	0.7096774194
295	0.7096774194
296	0.7096774194
297	0.7096774194
298	0.7096774194
299	0.7096774194
300	0.7096774194
301	0.7096774194
302	0.7096774194
303	0.7096774194
304	0.7096774194
305	0.7096774194
306	0.7096774194
307	0.7096774194
308	0.7096774194
309	0.7096774194
310	0.7096774194
311	0.7096774194
312	0.7096774194
313	0.7096774194
314	0.7096774194
315	0.7096774194
316	0.7096774194
317	0.7096774194
318	0.7096774194
319	0.7096774194
320	0.7096774194
321	0.7096774194
322	0.7096774194
323	0.7096774194
324	0.7096774194
325	0.7096774194
326	0.7096774194
327	0.7096774194
328	0.7096774194
329	0.7096774194
330	0.7096774194
331	0.7096774194
332	0.7096774194
333	0.7096774194
334	0.7096774194
335	0.7096774194
336	0.7096774194
337	0.7096774194
338	0.7096774194
339	0.7096774194
340	0.7096774194
341	0.7096774194
342	0.7096774194
343	0.7096774194
344	0.7096774194
345	0.7096774194
346	0.7096774194
347	0.7096774194
348	0.7096774194
349	0.7096774194
350	0.7096774194
351	0.7096774194
352	0.7096774194
353	0.7096774194
354	0.7096774194
355	0.7096774194
356	0.7096774194
357	0.7096774194
358	0.7096774194
359	0.7096774194
360	0.7096774194
361	0.7096774194
362	0.7096774194
363	0.7096774194
364	0.7096774194
365	0.7096774194
366	0.7096774194
367	0.7096774194
368	0.7096774194
369	0.7096774194
370	0.7096774194
371	0.7096774194
372	0.7096774194
373	0.7096774194
374	0.7096774194
375	0.7096774194
376	0.7096774194
377	0.7096774194
378	0.7096774194
379	0.7096774194
380	0.7096774194
381	0.7096774194
382	0.7096774194
383	0.7096774194
384	0.7096774194
385	0.7096774194
386	0.7096774194
387	0.7096774194
388	0.7096774194
389	0.7096774194
390	0.7096774194
391	0.7096774194
392	0.7096774194
393	0.7096774194
394	0.7096774194
395	0.7096774194
396	0.7096774194
397	0.7096774194
398	0.7096774194
399	0.7096774194
400	0.7096774194
401	0.7096774194
402	0.7096774194
403	0.7096774194
404	0.7096774194
405	0.7096774194
406	0.7096774194
407	0.7096774194
408	0.7096774194
409	0.7096774194
410	0.7096774194
411	0.7096774194
412	0.7096774194
413	0.7096774194
414	0.7096774194
415	0.7096774194
416	0.7096774194
417	0.7096774194
418	0.7096774194
419	0.7096774194
420	0.7096774194
421	0.7096774194
422	0.7096774194
423	0.7096774194
424	0.7096774194
425	0.7096774194
426	0.7096774194
427	0.7096774194
428	0.7096774194
429	0.7096774194
430	0.7096774194
431	0.7096774194
432	0.7096774194
433	0.7096774194
434	0.7096774194
435	0.7096774194
436	0.7096774194
437	0.7096774194
438	0.7096774194
439	0.7096774194
440	0.7096774194
441	0.7096774194
442	0.7096774194
443	0.7096774194
444	0.7096774194
445	0.7096774194
446	0.7096774194
447	0.7096774194
448	0.7096774194
449	0.7096774194
450	0.7096774194
451	0.7096774194
452	0.7096774194
453	0.7096774194
454	0.7096774194
455	0.7096774194
456	0.7096774194
457	0.7096774194
458	0.7096774194
459	0.7096774194
460	0.7096774194
461	0.7096774194
462	0.7096774194
463	0.7096774194
464	0.7096774194
465	0.7096774194
466	0.7096774194
467	0.7096774194
468	0.7096774194
469	0.7096774194
470	0.7096774194
471	0.7096774194
472	0.7096774194
473	0.7096774194
474	0.7096774194
475	0.7096774194
476	0.7096774194
477	0.7096774194
478	0.7096774194
479	0.7096774194
480	0.7096774194
481	0.7096774194
482	0.7096774194
483	0.7096774194
484	0.7096774194
485	0.7096774194
486	0.7096774194
487	0.7096774194
488	0.7096774194
489	0.7096774194
490	0.7096774194
491	0.7096774194
492	0.7096774194
493	0.7096774194
494	0.7096774194
495	0.7096774194
496	0.7096774194
497	0.7096774194
498	0.7096774194
499	0.7096774194
