iter	PrecisionAt:top=5
0	0.7096774194
1	0.7096774194
2	0.7096774194
3	0.7096774194
4	0.7096774194
5	0.7096774194
6	0.7096774194
7	0.7096774194
8	0.7096774194
9	0.7096774194
10	0.7096774194
11	0.7096774194
12	0.7096774194
13	0.7096774194
14	0.7096774194
15	0.7096774194
16	0.7096774194
17	0.7096774194
18	0.7096774194
19	0.7096774194
20	0.7096774194
21	0.7096774194
22	0.7096774194
23	0.7096774194
24	0.7096774194
25	0.7096774194
26	0.7096774194
27	0.7096774194
28	0.7096774194
29	0.7096774194
30	0.7096774194
31	0.7096774194
32	0.7096774194
33	0.7096774194
34	0.7096774194
35	0.7096774194
36	0.7096774194
37	0.7096774194
38	0.7096774194
39	0.7096774194
40	0.7096774194
41	0.7096774194
42	0.7096774194
43	0.7096774194
44	0.7096774194
45	0.7096774194
46	0.7096774194
47	0.7096774194
48	0.7096774194
49	0.7096774194
50	0.7096774194
51	0.7096774194
52	0.7096774194
53	0.7096774194
54	0.7096774194
55	0.7096774194
56	0.7096774194
57	0.7096774194
58	0.7096774194
59	0.7096774194
60	0.7096774194
61	0.7096774194
62	0.7096774194
63	0.7096774194
64	0.7096774194
65	0.7096774194
66	0.7096774194
67	0.7096774194
68	0.7096774194
69	0.7096774194
70	0.7096774194
71	0.7096774194
72	0.7096774194
73	0.7096774194
74	0.7096774194
75	0.7096774194
76	0.7096774194
77	0.7096774194
78	0.7096774194
79	0.7096774194
80	0.7096774194
81	0.7096774194
82	0.7096774194
83	0.7096774194
84	0.7096774194
85	0.7096774194
86	0.7096774194
87	0.7096774194
88	0.7096774194
89	0.7096774194
90	0.7096774194
91	0.7096774194
92	0.7096774194
93	0.7096774194
94	0.7096774194
95	0.7096774194
96	0.7096774194
97	0.7096774194
98	0.7096774194
99	0.7096774194
100	0.7096774194
101	0.7096774194
102	0.7096774194
103	0.7096774194
104	0.7096774194
105	0.7096774194
106	0.7096774194
107	0.7096774194
108	0.7096774194
109	0.7096774194
110	0.7096774194
111	0.7096774194
112	0.7096774194
113	0.7096774194
114	0.7096774194
115	0.7096774194
116	0.7096774194
117	0.7096774194
118	0.7096774194
119	0.7096774194
120	0.7096774194
121	0.7096774194
122	0.7096774194
123	0.7096774194
124	0.7096774194
125	0.7096774194
126	0.7096774194
127	0.7096774194
128	0.7096774194
129	0.7096774194
130	0.7096774194
131	0.7096774194
132	0.7096774194
133	0.7096774194
134	0.7096774194
135	0.7096774194
136	0.7096774194
137	0.7096774194
138	0.7096774194
139	0.7096774194
140	0.7096774194
141	0.7096774194
142	0.7096774194
143	0.7096774194
144	0.7096774194
145	0.7096774194
146	0.7096774194
147	0.7096774194
148	0.7096774194
149	0.7096774194
150	0.7096774194
151	0.7096774194
152	0.7096774194
153	0.7096774194
154	0.7096774194
155	0.7096774194
156	0.7096774194
157	0.7096774194
158	0.7096774194
159	0.7096774194
160	0.7096774194
161	0.7096774194
162	0.7096774194
163	0.7096774194
164	0.7096774194
165	0.7096774194
166	0.7096774194
167	0.7096774194
168	0.7096774194
169	0.7096774194
170	0.7096774194
171	0.7096774194
172	0.7096774194
